78,49.0
78,46.0
78,47.0
78,49.0
78,47.0
78,47.0
78,47.0
78,45.0
78,45.0
43,41.0
25,42.0
78,47.0
78,47.0
78,45.0
28,35.0
78,45.0
37,41.0
43,40.0
25,39.0
65,40.0
78,44.0
43,43.0
78,41.0
78,43.0
78,44.0
61,38.0
25,40.0
28,40.0
78,42.0
43,38.0
28,37.0
65,41.0
37,41.0
78,42.0
78,41.0
43,43.0
14,43.0
25,40.0
43,37.0
78,42.0
65,42.0
28,41.0
35,41.0
78,40.0
61,40.0
43,43.0
65,42.0
28,41.0
78,42.0
25,42.0
28,37.0
78,42.0
43,39.0
14,43.0
37,42.0
28,40.0
65,41.0
78,41.0
78,43.0
35,41.0
60,41.0
43,40.0
43,42.0
28,39.0
78,42.0
25,42.0
78,42.0
65,41.0
28,35.0
78,42.0
28,39.0
78,43.0
43,40.0
25,41.0
43,43.0
14,43.0
37,42.0
78,43.0
78,43.0
65,41.0
60,40.0
28,39.0
35,41.0
78,42.0
43,40.0
65,41.0
78,44.0
28,39.0
43,43.0
78,41.0
25,40.0
43,40.0
28,36.0
60,39.0
28,40.0
65,41.0
78,42.0
14,45.0
78,40.0
35,40.0
28,39.0
37,43.0
25,39.0
43,40.0
51,39.0
43,42.0
65,41.0
78,43.0
28,39.0
25,41.0
78,39.0
28,38.0
89,47.0
89,46.0
65,41.0
43,43.0
89,47.0
43,42.0
89,45.0
78,43.0
25,42.0
78,40.0
28,38.0
51,39.0
35,41.0
14,45.0
89,45.0
37,42.0
65,42.0
43,43.0
43,42.0
89,45.0
28,39.0
25,41.0
78,39.0
78,42.0
89,44.0
65,42.0
25,40.0
89,43.0
28,41.0
43,43.0
78,40.0
35,42.0
43,43.0
78,40.0
25,40.0
89,40.0
28,40.0
37,41.0
65,40.0
78,42.0
78,41.0
25,40.0
51,38.0
89,40.0
14,47.0
43,45.0
28,39.0
78,42.0
65,40.0
78,41.0
35,41.0
43,41.0
25,40.0
78,41.0
89,40.0
28,39.0
43,43.0
65,40.0
37,40.0
78,42.0
25,40.0
51,39.0
78,42.0
35,41.0
43,43.0
83,39.0
28,39.0
78,42.0
14,47.0
25,40.0
65,39.0
43,43.0
28,38.0
78,40.0
78,41.0
83,40.0
51,40.0
65,40.0
25,41.0
35,40.0
78,41.0
37,41.0
43,42.0
43,44.0
78,41.0
28,40.0
65,40.0
78,42.0
25,41.0
71,39.0
14,47.0
28,39.0
78,41.0
78,40.0
43,41.0
35,42.0
43,44.0
25,40.0
51,41.0
65,41.0
37,41.0
78,42.0
28,41.0
78,41.0
78,43.0
64,36.0
25,40.0
65,40.0
78,41.0
78,43.0
43,44.0
51,39.0
43,41.0
14,47.0
78,43.0
78,42.0
25,41.0
35,43.0
65,40.0
28,40.0
78,42.0
78,43.0
37,42.0
78,44.0
78,43.0
78,44.0
51,40.0
43,43.0
